DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200204818,1/16/2020,Rampart,624,BATTERY - SIMPLE ASSAULT,76,M,H,Hispanic,NURSING/CONVALESCENT/RETIREMENT HOME,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0585,-118.2725
210806415,3/1/2021,West LA,310,BURGLARY,47,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0407,-118.3791
200108278,3/2/2020,Central,624,BATTERY - SIMPLE ASSAULT,44,F,W,White,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,34.0458,-118.243
211415370,7/20/2021,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),32,F,W,White,OTHER PREMISE,,33.9953,-118.4729
200305852,1/31/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,26,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0149,-118.3436
211310456,5/29/2021,Newton,624,BATTERY - SIMPLE ASSAULT,38,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0048,-118.2581
200200584,2/17/2020,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,M,H,Hispanic,MINI-MART,CLUB/BAT,34.0667,-118.2703
210910782,6/22/2021,Van Nuys,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),21,M,H,Hispanic,PARKING LOT,,34.1907,-118.4479
200104682,1/9/2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),32,M,W,White,HIGH-RISE BUILDING,,34.0511,-118.2608
212104328,1/11/2021,Topanga,354,THEFT OF IDENTITY,60,F,W,White,OTHER BUSINESS,,34.1696,-118.6059
